pathway_id	pathway_name	collection	subcollection	organism	gene_symbol	gene_ensembl	gene_entrez
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Abca1	ENSMUSG00000015243	11303
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Abcb8	ENSMUSG00000028973	74610
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Acaa2	ENSMUSG00000036880	52538
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Acadl	ENSMUSG00000026003	11363
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Acadm	ENSMUSG00000062908	11364
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Acads	ENSMUSG00000029545	11409
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Acly	ENSMUSG00000020917	104112
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Aco2	ENSMUSG00000022477	11429
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Acox1	ENSMUSG00000020777	11430
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Adcy6	ENSMUSG00000022994	11512
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Adig	ENSMUSG00000044405	246747
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Adipoq	ENSMUSG00000022878	11450
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Adipor2	ENSMUSG00000030168	68465
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Agpat3	ENSMUSG00000001211	28169
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Aifm1	ENSMUSG00000036932	26926
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Ak2	ENSMUSG00000028792	11637
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Aldh2	ENSMUSG00000029455	11669
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Aldoa	ENSMUSG00000030695	11674
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Angpt1	ENSMUSG00000022309	11600
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Angptl4	ENSMUSG00000002289	57875
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Aplp2	ENSMUSG00000031996	11804
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Apoe	ENSMUSG00000002985	11816
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Araf	ENSMUSG00000001127	11836
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Arl4a	ENSMUSG00000047446	11861
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Atl2	ENSMUSG00000059811	56298
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Atp1b3	ENSMUSG00000032412	11933
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Atp5o	ENSMUSG00000022956	28080
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Baz2a	ENSMUSG00000040054	116848
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Bckdha	ENSMUSG00000060376	12039
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Bcl2l13	ENSMUSG00000009112	94044
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Bcl6	ENSMUSG00000022508	12053
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	C3	ENSMUSG00000024164	12266
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cat	ENSMUSG00000027187	12359
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cavin1	ENSMUSG00000004044	19285
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cavin2	ENSMUSG00000045954	20324
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Ccng2	ENSMUSG00000029385	12452
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cd151	ENSMUSG00000025510	12476
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cd302	ENSMUSG00000060703	66205
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cd36	ENSMUSG00000002944	12491
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cdkn2c	ENSMUSG00000028551	12580
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Chchd10	ENSMUSG00000049422	103172
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Chuk	ENSMUSG00000025199	12675
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cidea	ENSMUSG00000024526	12683
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cmbl	ENSMUSG00000022235	69574
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cmpk1	ENSMUSG00000028719	66588
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Col15a1	ENSMUSG00000028339	12819
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Col4a1	ENSMUSG00000031502	12826
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Coq3	ENSMUSG00000028247	230027
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Coq5	ENSMUSG00000041733	52064
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Coq9	ENSMUSG00000031782	67914
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cox6a1	ENSMUSG00000041697	12861
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cox7b	ENSMUSG00000031231	66142
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cox8a	ENSMUSG00000035885	12868
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cpt2	ENSMUSG00000028607	12896
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Crat	ENSMUSG00000026853	12908
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cs	ENSMUSG00000005683	12974
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cyc1	ENSMUSG00000022551	66445
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Cyp4b1	ENSMUSG00000028713	13120
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Dbt	ENSMUSG00000000340	13171
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Ddt	ENSMUSG00000001666	13202
M5905	HALLMARK_ADIPOGENESIS	H		Mus musculus	Decr1	ENSMUSG00000028223	67460
