dataset_id	source	accession	chemistry	chemistry_exact	tissue	species	n_samples	n_cells_estimated	fastq_size_gb_estimated	size_confidence	reference_genome_expected	original_counter_used_by_submitter	license_constraints	raw_fastq_url_or_accession	has_publication	citation	access_status	acquisition_status	chemistry_in_scope	notes
10x_pbmc_1k_v3	10x_public	pbmc_1k_v3	3p_v3	v3	PBMC	human	1	1222	5	estimated	GRCh38	cellranger	CC-BY-4.0 (10x public)	https://cf.10xgenomics.com/samples/cell-exp/3.0.0/pbmc_1k_v3/	no	10x Genomics demo data, Cell Ranger 3.0.0 release	open	needs_download	yes	Small entry-cost dataset; good smoke test for all four tools
10x_pbmc_5k_v3.1	10x_public	SC3pv3_GEX_Human_PBMC	3p_v3	v3.1	PBMC	human	1	5140	15.0	verified	GRCh38	cellranger_7.0.1	CC-BY-4.0 (10x public)	https://cf.10xgenomics.com/samples/cell-exp/7.0.1/SC3pv3_GEX_Human_PBMC/SC3pv3_GEX_Human_PBMC_fastqs.tar	yes (10x app note)	10x Genomics 5k PBMCs 3' v3.1 Chromium Controller dataset	open	needs_download	yes	URL VERIFIED 2026-05-17 — actual path stem SC3pv3_GEX_Human_PBMC under cell-exp/7.0.1/. 15.0 GB tarball confirmed via curl HEAD. VERIFIED n_cells from catalog page; size estimated; R1=28cy R2=90cy ~35k reads/cell
10x_pbmc_10k_v3.1	10x_public	10k_PBMC_3p_nextgem_Chromium_Controller	3p_v3	v3.1	PBMC	human	1	11485	34.0	verified	GRCh38	cellranger	CC-BY-4.0 (10x public)	https://cf.10xgenomics.com/samples/cell-exp/6.1.0/10k_PBMC_3p_nextgem_Chromium_Controller/10k_PBMC_3p_nextgem_Chromium_Controller_fastqs.tar	yes (10x app note)	10x Genomics 10k PBMCs 3' v3.1 Chromium Controller dataset	open	needs_download	yes	URL VERIFIED 2026-05-17 — path stem 10k_PBMC_3p_nextgem_Chromium_Controller under cell-exp/6.1.0/. 34.0 GB tarball confirmed via curl HEAD. VERIFIED n_cells from catalog page; size estimated
10x_neuron_1k_v3	10x_public	neuron_1k_v3	3p_v3	v3	brain	mouse	1	1300	7.1	verified	mm10	cellranger	CC-BY-4.0 (10x public)	https://cf.10xgenomics.com/samples/cell-exp/3.0.0/neuron_1k_v3/neuron_1k_v3_fastqs.tar	no	10x Genomics E18 mouse brain 1k cells demo, Cell Ranger 3.0.0	open	needs_download	yes	ADDED 2026-05-17 — replaces neurons_900_v3 (whose URL was a CP1 guess that did not exist on the public CDN). Mouse 3' v3 brain dataset.
10x_neurons_900_v3	10x_public	neurons_900_v3	3p_v3	v3	brain	mouse	1	931	5	estimated	mm10	cellranger	CC-BY-4.0 (10x public)	(URL guess in CP1 incorrect — no public CDN path; superseded by neuron_1k_v3)	no	10x Genomics demo data, Cell Ranger 3.0.0 release	open	superseded_by_neuron_1k_v3	no (superseded by neuron_1k_v3)	SUPERSEDED 2026-05-17 — my CP1 inventory URL was a guess that does not exist on 10x CDN. Replaced with neuron_1k_v3 (same chemistry, similar cell count) per user-approved hybrid mouse plan. Original notes: MOUSE — can reuse /mnt/nvme2/refs/mm39 ref set per CP0 addendum
10x_pbmc_3k_v2	10x_public	pbmc_3k	3p_v2	v2	PBMC	human	1	2700	18	estimated	GRCh38	cellranger	CC-BY-4.0 (10x public)	https://cf.10xgenomics.com/samples/cell-exp/1.1.0/pbmc3k/	no	Classic 10x dataset, widely-used Seurat tutorial set	open	superseded_v1_chemistry	no (actually v1 chemistry, not v2)	SUPERSEDED 2026-05-17 — inspecting the FASTQ structure after download revealed this is 10x v1 chemistry (record headers 1:N:0:0 + 4:N:0:0, reads 98bp + 10bp = transcript + UMI; cell barcode on I2 file). v1 is NOT in Audit 3 scope (which covers v2, v3, v3.1, 5p_v2). Replaced with 10x_t_3k_v2 (cell-exp/2.1.0/t_3k, genuine 3' v2 era). Original notes: Canonical benchmark for 3' v2
10x_t_3k_v2	10x_public	t_3k	3p_v2	v2	T_cells	human	1	3000	38.0	verified	GRCh38	cellranger	CC-BY-4.0 (10x public)	https://cf.10xgenomics.com/samples/cell-exp/2.1.0/t_3k/t_3k_fastqs.tar	no	10x Genomics 3k T cells demo, Cell Ranger 2.1.0 (3' v2 chemistry)	open	needs_download	yes	ADDED 2026-05-17 — replaces pbmc_3k_v2 (which was v1 chemistry). t_3k is from cell-exp/2.1.0/ era which is the genuine 3' v2 chemistry release. Human T cells (a major PBMC component); slight tissue shift from pure PBMC but within reasonable range. URL verified, 38.0 GB tarball.
10x_pbmc_4k_v2	10x_public	pbmc_4k	3p_v2	v2	PBMC	human	1	4340	39.0	verified	GRCh38	cellranger	CC-BY-4.0 (10x public)	https://cf.10xgenomics.com/samples/cell-exp/2.1.0/pbmc4k/	no	10x Genomics demo, Cell Ranger 2.1.0 release	open	needs_download	yes	Pairs with pbmc_3k for v2 chemistry replication
10x_heart_1k_v2_mouse	10x_public	heart_1k_v2	3p_v2	v2	heart	mouse	1	1011	6	estimated	mm10	cellranger	CC-BY-4.0 (10x public)	(URL guess in CP1 incorrect — 10x mouse demos are 3' v3 era only; no public 3' v2 mouse demo)	no	10x Genomics E18 mouse heart 1k cells demo, Cell Ranger 2.1.0	open	deferred_no_v2_mouse_demo	no (no public v2 mouse demo; Tabula Muris liver covers v2 mouse)	DEFERRED 2026-05-17 — my CP1 URL was a guess; 10x does not publish a 3' v2 mouse demo (their mouse demos are 3' v3 era). Tabula Muris liver covers the 3' v2 mouse slot. Original notes: NEW per user direction 2026-05-17 — mouse heart, 3' v2; expands mouse coverage into v2 chemistry and tissue beyond brain
tabula_muris_liver_droplet	GEO	GSE109774 (liver subset)	3p_v2	v2	liver	mouse	3	1500	25	estimated	mm10	cellranger_1.3 (per Tabula Muris paper)	open (CZ Biohub release)	GSE109774 — liver droplet samples (GSM2967737, GSM2967738, GSM2967739, GSM2967740 per Tabula Muris Table S1; pull via sra-toolkit prefetch + fasterq-dump on each SRR)	yes	Tabula Muris Consortium 2018, Nature 562:367–372 (DOI:10.1038/s41586-018-0590-4)	open	needs_download	yes	SRA-only dataset (per CP3 user direction 2026-05-17). sra-toolkit 3.4.1 installed in audit3_counting env. NEW per user direction 2026-05-17 — Tabula Muris is the standard mouse-tissue-diversity benchmark; liver subset chosen for 3' v2 chemistry replication with heart_1k_v2 and additional tissue coverage. Cell count and size estimated from Tabula Muris paper Table 1; need to confirm specific GSM accessions at download time (likely GSM2967037 + GSM2967038 + GSM2967039 or similar)
